"due_date","name","course_id","id","points_possible","assignment_group_id"
2024-05-29 03:59:59.000,Attitudes Quiz,17700000000718327,17700000002358326,4.000000000,17700000000679170
2024-05-16 03:59:59.000,Syllabus Quiz,17700000000718327,17700000002358327,6.000000000,17700000000679170
2024-07-25 03:59:59.000,When Affect Trumps Cognition (Discussion),17700000000718327,17700000002358328,20.000000000,17700000000679171
2024-07-18 03:59:59.000,Social Learning (Discussion),17700000000718327,17700000002358329,20.000000000,17700000000679171
2024-05-18 03:59:59.000,Meet and Greet,17700000000718327,17700000002358330,10.000000000,17700000000679171
2024-05-23 03:59:59.000,Choosing a Seat (Discussion),17700000000718327,17700000002358331,20.000000000,17700000000679171
2024-05-30 03:59:59.000,"Internet's Influence on Attitudes, Beliefs, and Culture (Discussion)",17700000000718327,17700000002358332,50.000000000,17700000000679171
2024-06-20 03:59:59.000,Doing Your Part (Discussion),17700000000718327,17700000002358333,20.000000000,17700000000679171
2024-07-11 03:59:59.000,Conflict and Peacemaking (Discussion),17700000000718327,17700000002358334,20.000000000,17700000000679171
2024-07-27 03:59:00.000,Altruism (Discussion),17700000000718327,17700000002358335,20.000000000,17700000000679171
2024-05-27 03:59:00.000,APA/Research Assignment,17700000000718327,17700000002358336,25.000000000,17700000000679172
2024-06-22 03:59:00.000,Creating an Objective Test,17700000000718327,17700000002358337,50.000000000,17700000000679172
2024-08-08 03:59:00.000,Final ,17700000000718327,17700000002358338,100.000000000,17700000000679170
2024-06-06 03:59:59.000,Midterm Essay,17700000000718327,17700000002358339,150.000000000,17700000000679170
2024-06-15 03:59:00.000,Online Love (Assignment),17700000000718327,17700000002358340,20.000000000,17700000000679172
2024-05-25 03:59:00.000,Passing Judgment (Assignment),17700000000718327,17700000002358341,40.000000000,17700000000679172
2024-06-29 03:59:00.000,Prejudice and Aggression (Assignment),17700000000718327,17700000002358342,50.000000000,17700000000679172
2024-07-20 03:59:59.000,Social Cognition Reflection (Assignment),17700000000718327,17700000002358343,50.000000000,17700000000679172
2024-08-01 03:59:59.000,Thinking Like a Social Psychologist (Assignment),17700000000718327,17700000002358344,50.000000000,17700000000679172
